Well_ID,Point_ID,x_long,y_lat,County,MeasurementMonth,MeasurementDay,MeasurementYear,MeasurementDate,WaterElevation,Max_NS,SaturatedThickness
148902,1312,-103.004167,36.251389,Dallam,3,14,1995,3/14/95,4397.15,4190,207.14999999999964
148902,1312,-103.004167,36.251389,Dallam,3,13,1996,3/13/96,4397.1,4190,207.10000000000036
148902,1312,-103.004167,36.251389,Dallam,2,13,1998,2/13/98,4398.74,4190,208.73999999999978
148902,1312,-103.004167,36.251389,Dallam,4,24,2001,4/24/01,4389.23,4190,199.22999999999956
148902,1312,-103.004167,36.251389,Dallam,3,5,2002,3/5/02,4389.27,4190,199.27000000000044
148902,1312,-103.004167,36.251389,Dallam,3,6,2003,3/6/03,4380.78,4190,190.77999999999975
148902,1312,-103.004167,36.251389,Dallam,3,9,2004,3/9/04,4364.33,4190,174.32999999999993
148902,1312,-103.004167,36.251389,Dallam,1,26,2006,1/26/06,4357.4,4190,167.39999999999964
148902,1312,-103.004167,36.251389,Dallam,2,23,2007,2/23/07,4364.32,4190,174.3199999999997
148902,1312,-103.004167,36.251389,Dallam,2,1,2008,2/1/08,4350.25,4190,160.25
148902,1312,-103.004167,36.251389,Dallam,2,13,2009,2/13/09,4346.45,4190,156.44999999999982
148902,1312,-103.004167,36.251389,Dallam,3,9,2010,3/9/10,4344.08,4190,154.07999999999993
148902,1312,-103.004167,36.251389,Dallam,2,22,2011,2/22/11,4342.15,4190,152.14999999999964
148902,1312,-103.004167,36.251389,Dallam,1,12,2012,1/12/12,4343.61,4190,153.60999999999967
148902,1312,-103.004167,36.251389,Dallam,2,14,2013,2/14/13,4332.45,4190,142.44999999999982
148902,1312,-103.004167,36.251389,Dallam,2,21,2014,2/21/14,4326.99,4190,136.98999999999978
148902,1312,-103.004167,36.251389,Dallam,2,13,2015,2/13/15,4307.2,4190,117.19999999999982
148902,1312,-103.004167,36.251389,Dallam,1,28,2016,1/28/16,4328.15,4190,138.14999999999964
156301,1311,-103.031667,36.240834,Dallam,3,14,1995,3/14/95,4417.59,4180,237.59000000000015
156301,1311,-103.031667,36.240834,Dallam,3,13,1996,3/13/96,4417.6,4180,237.60000000000036
156902,2091,-103.037778,36.153334,Dallam,3,14,1995,3/14/95,4312.84,4160,152.84000000000015
156902,2091,-103.037778,36.153334,Dallam,3,13,1996,3/13/96,4295.8,4160,135.80000000000018
156902,2091,-103.037778,36.153334,Dallam,3,7,1997,3/7/97,4295.85,4160,135.85000000000036
156906,2091,-103.011112,36.141945,Dallam,5,12,2000,5/12/00,4234.7,4140,94.69999999999982
164301,2350,-103.001112,36.119722,Dallam,3,13,1995,3/13/95,4314.5,4080,234.5
164301,2350,-103.001112,36.119722,Dallam,3,8,1996,3/8/96,4292,4080,212.0
164301,2350,-103.001112,36.119722,Dallam,3,7,1997,3/7/97,4289.35,4080,209.35000000000036
164301,2350,-103.001112,36.119722,Dallam,1,26,1998,1/26/98,4284.75,4080,204.75
164301,2350,-103.001112,36.119722,Dallam,2,7,2000,2/7/00,4277.62,4080,197.6199999999999
164301,2350,-103.001112,36.119722,Dallam,3,7,2001,3/7/01,4274.48,4080,194.47999999999956
164301,2350,-103.001112,36.119722,Dallam,3,3,2003,3/3/03,4266.77,4080,186.77000000000044
164301,2350,-103.001112,36.119722,Dallam,3,9,2004,3/9/04,4250.8,4080,170.80000000000018
164301,2350,-103.001112,36.119722,Dallam,3,11,2005,3/11/05,4237.72,4080,157.72000000000025
164301,2350,-103.001112,36.119722,Dallam,1,26,2006,1/26/06,4237.5,4080,157.5
164301,2350,-103.001112,36.119722,Dallam,2,26,2007,2/26/07,4235.66,4080,155.65999999999985
164301,2350,-103.001112,36.119722,Dallam,2,4,2008,2/4/08,4236.75,4080,156.75
164301,2350,-103.001112,36.119722,Dallam,2,13,2009,2/13/09,4222.99,4080,142.98999999999978
164301,2350,-103.001112,36.119722,Dallam,3,18,2010,3/18/10,4224.33,4080,144.32999999999993
164301,2350,-103.001112,36.119722,Dallam,2,22,2011,2/22/11,4228.68,4080,148.6800000000003
164301,2350,-103.001112,36.119722,Dallam,1,10,2012,1/10/12,4217.52,4080,137.52000000000044
164301,2350,-103.001112,36.119722,Dallam,2,13,2015,2/13/15,4202.15,4080,122.14999999999964
164901,2868,-103.040834,36.038334,Hartley,2,6,2008,2/6/08,4316.4,4140,176.39999999999964
164901,2868,-103.040834,36.038334,Hartley,1,17,2012,1/17/12,4305.25,4140,165.25
164901,2868,-103.040834,36.038334,Hartley,2,11,2013,2/11/13,4299.33,4140,159.32999999999993
164901,2868,-103.040834,36.038334,Hartley,2,13,2014,2/13/14,4291.18,4140,151.1800000000003
164901,2868,-103.040834,36.038334,Hartley,1,20,2015,1/20/15,4284.21,4140,144.21000000000004
233201,17,-102.919722,36.480833,Dallam,12,12,1996,12/12/96,4451.6,4290,161.60000000000036
233201,17,-102.919722,36.480833,Dallam,12,9,1997,12/9/97,4439.35,4290,149.35000000000036
233201,17,-102.919722,36.480833,Dallam,12,12,1998,12/12/98,4426.88,4290,136.8800000000001
233201,17,-102.919722,36.480833,Dallam,12,8,1999,12/8/99,4426.28,4290,136.27999999999975
233201,17,-102.919722,36.480833,Dallam,12,6,2000,12/6/00,4434.6,4290,144.60000000000036
233201,17,-102.919722,36.480833,Dallam,12,10,2003,12/10/03,4422.4,4290,132.39999999999964
233201,17,-102.919722,36.480833,Dallam,12,12,2004,12/12/04,4425.5,4290,135.5
233201,17,-102.919722,36.480833,Dallam,3,23,2005,3/23/05,4415.56,4290,125.5600000000004
233201,17,-102.919722,36.480833,Dallam,3,23,2006,3/23/06,4415.56,4290,125.5600000000004
233401,40,-102.988056,36.453334,Dallam,12,12,1996,12/12/96,4491.05,4370,121.05000000000018
233401,40,-102.988056,36.453334,Dallam,12,9,1997,12/9/97,4495.22,4370,125.22000000000025
233401,40,-102.988056,36.453334,Dallam,12,11,1998,12/11/98,4493.82,4370,123.81999999999971
233401,40,-102.988056,36.453334,Dallam,12,7,1999,12/7/99,4492.82,4370,122.81999999999971
233401,40,-102.988056,36.453334,Dallam,5,16,2000,5/16/00,4487.9,4370,117.89999999999964
233401,40,-102.988056,36.453334,Dallam,12,11,2001,12/11/01,4479.36,4370,109.35999999999967
233401,40,-102.988056,36.453334,Dallam,12,13,2002,12/13/02,4474.2,4370,104.19999999999982
233401,40,-102.988056,36.453334,Dallam,12,10,2003,12/10/03,4470.3,4370,100.30000000000018
233401,40,-102.988056,36.453334,Dallam,12,11,2004,12/11/04,4460.2,4370,90.19999999999982
233501,137,-102.933889,36.432778,Dallam,12,7,1995,12/7/95,4442.3,4180,262.3000000000002
233501,137,-102.933889,36.432778,Dallam,12,12,1996,12/12/96,4441.35,4180,261.35000000000036
233501,137,-102.933889,36.432778,Dallam,12,9,1997,12/9/97,4441.25,4180,261.25
233501,137,-102.933889,36.432778,Dallam,12,12,1998,12/12/98,4438.35,4180,258.35000000000036
233501,137,-102.933889,36.432778,Dallam,12,8,1999,12/8/99,4436.51,4180,256.5100000000002
233501,137,-102.933889,36.432778,Dallam,12,6,2000,12/6/00,4431.95,4180,251.94999999999982
233501,137,-102.933889,36.432778,Dallam,3,23,2005,3/23/05,4422.59,4180,242.59000000000015
233501,137,-102.933889,36.432778,Dallam,3,23,2006,3/23/06,4422.59,4180,242.59000000000015
233501,137,-102.933889,36.432778,Dallam,2,14,2008,2/14/08,4406.72,4180,226.72000000000025
233501,137,-102.933889,36.432778,Dallam,2,12,2009,2/12/09,4398.94,4180,218.9399999999996
233501,137,-102.933889,36.432778,Dallam,2,19,2015,2/19/15,4338.59,4180,158.59000000000015
233604,84,-102.890834,36.439722,Dallam,3,9,2010,3/9/10,4386,4130,256.0
233604,84,-102.890834,36.439722,Dallam,12,2,2010,12/2/10,4379.41,4130,249.40999999999985
233604,84,-102.890834,36.439722,Dallam,1,9,2012,1/9/12,4377.34,4130,247.34000000000015
233604,84,-102.890834,36.439722,Dallam,1,3,2013,1/3/13,4378.4,4130,248.39999999999964
233604,84,-102.890834,36.439722,Dallam,1,20,2015,1/20/15,4367.65,4130,237.64999999999964
233604,84,-102.890834,36.439722,Dallam,1,20,2016,1/20/16,4372.91,4130,242.90999999999985
233701,297,-102.962501,36.393889,Dallam,12,8,1995,12/8/95,4457.55,4240,217.55000000000018
233701,297,-102.962501,36.393889,Dallam,12,12,1996,12/12/96,4462.2,4240,222.19999999999982
233701,297,-102.962501,36.393889,Dallam,12,9,1997,12/9/97,4460.97,4240,220.97000000000025
233701,297,-102.962501,36.393889,Dallam,12,12,1998,12/12/98,4458.88,4240,218.8800000000001
233701,297,-102.962501,36.393889,Dallam,12,8,1999,12/8/99,4458.5,4240,218.5
233701,297,-102.962501,36.393889,Dallam,12,6,2000,12/6/00,4457.9,4240,217.89999999999964
233701,297,-102.962501,36.393889,Dallam,12,11,2001,12/11/01,4456.6,4240,216.60000000000036
